gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
14/04/12;1.6;N;4.7
15/04/12;0.9;SO;2.4
16/04/12;1.5;NE;3.7
17/04/12;2.4;N;5.2
18/04/12;1.6;E;4.0
19/04/12;1.5;S;3.7
20/04/12;1.4;E;3.8
21/04/12;2.1;S;5.1
22/04/12;1.9;S;4.4
23/04/12;1.9;S;4.8
24/04/12;2.4;E;4.6
25/04/12;1.5;SO;2.9
26/04/12;1.0;NE;2.1
27/04/12;0.9;E;2.3
28/04/12;0.9;E;2.4
29/04/12;0.9;NE;3.3
30/04/12;0.9;NE;3.0
01/05/12;1.0;NE;2.9
02/05/12;1.4;S;3.2
03/05/12;1.7;E;3.8
04/05/12;1.5;S;3.6
05/05/12;1.4;SE;3.6
06/05/12;1.3;SE;4.4
07/05/12;1.2;N;3.4
08/05/12;1.2;NE;2.8
09/05/12;1.2;E;2.8
10/05/12;1.1;E;2.2
11/05/12;1.3;E;4.1
12/05/12;1.3;E;3.5
13/05/12;4.5;SE;10.7
14/05/12;3.3;N;6.8
15/05/12;1.4;NE;3.4
16/05/12;3.3;SE;9.6
17/05/12;1.9;SE;4.4
18/05/12;1.0;SE;2.4
19/05/12;1.0;NE;2.6
20/05/12;1.1;S;3.2
21/05/12;1.2;O;3.1
22/05/12;1.1;E;3.0
23/05/12;1.1;NE;2.8
24/05/12;2.1;NE;6.0
25/05/12;2.0;S;4.4
26/05/12;2.1;NE;4.0
27/05/12;1.1;E;2.1
28/05/12;1.2;SE;2.8
29/05/12;1.3;SO;2.9
30/05/12;1.3;E;2.8
31/05/12;1.3;E;2.9
01/06/12;1.4;SO;2.9
02/06/12;1.2;E;2.2
03/06/12;1.6;S;3.6
04/06/12;1.4;SE;3.8
05/06/12;1.3;NE;3.5
06/06/12;1.5;E;2.9
07/06/12;1.3;E;2.5
08/06/12;1.9;E;4.2
09/06/12;1.9;E;3.9
10/06/12;1.8;SO;3.8
11/06/12;2.0;NE;3.6
12/06/12;2.3;NE;4.8
13/06/12;2.0;SO;3.8
14/06/12;1.2;NE;2.8
15/06/12;1.0;SE;2.2
16/06/12;1.1;E;2.3
17/06/12;1.0;SE;2.1
18/06/12;1.0;SE;3.0
19/06/12;1.1;E;2.4
20/06/12;1.2;E;2.1
21/06/12;1.6;E;3.6
22/06/12;1.5;S;3.1
23/06/12;1.4;NE;2.5
24/06/12;1.4;E;3.0
25/06/12;1.5;NE;3.3
26/06/12;2.3;SE;5.4
27/06/12;2.0;N;3.6
28/06/12;1.3;E;2.8
29/06/12;1.2;E;2.4
30/06/12;1.2;E;2.3
01/07/12;1.2;NE;2.7
02/07/12;2.1;E;5.3
03/07/12;1.6;SO;3.1
04/07/12;1.3;E;2.7
05/07/12;1.4;E;2.8
06/07/12;1.6;NE;3.4
07/07/12;1.6;SE;3.0
08/07/12;1.5;E;2.9
09/07/12;1.6;S;3.2
10/07/12;1.5;E;3.2
11/07/12;1.6;E;3.0
12/07/12;1.8;SO;4.0
13/07/12;2.3;E;5.2
14/07/12;1.9;SO;3.2
15/07/12;2.6;SE;4.4
16/07/12;3.0;E;6.1
17/07/12;1.5;SE;3.6
18/07/12;1.4;E;2.3
19/07/12;1.6;E;5.1
20/07/12;1.5;E;3.1
21/07/12;1.7;S;4.6
22/07/12;6.2;N;10.7
23/07/12;5.0;NE;9.6
24/07/12;3.7;N;7.9
25/07/12;1.5;NE;2.9
26/07/12;1.4;NE;2.9
27/07/12;1.6;NE;3.3
28/07/12;1.3;E;3.0
29/07/12;1.8;O;4.2
30/07/12;1.8;SE;3.9
31/07/12;1.6;E;4.7
01/08/12;2.3;NE;5.5
02/08/12;1.4;E;3.0
03/08/12;1.4;SE;2.9
04/08/12;1.3;SE;3.1
05/08/12;1.4;E;3.9
06/08/12;2.1;E;4.9
07/08/12;1.7;S;3.9
08/08/12;1.3;E;2.7
09/08/12;1.4;E;3.4
10/08/12;4.4;N;6.9
11/08/12;2.0;NE;4.5
12/08/12;1.3;E;3.0
13/08/12;1.7;NE;5.3
14/08/12;1.3;SE;4.1
15/08/12;1.4;NE;3.3
16/08/12;1.6;NE;3.9
17/08/12;2.0;NE;4.9
18/08/12;2.2;S;3.8
19/08/12;1.7;E;4.4
20/08/12;1.5;E;3.7
21/08/12;1.4;E;3.1
22/08/12;1.4;E;2.9
23/08/12;1.2;E;2.6
24/08/12;1.3;E;2.7
25/08/12;1.4;SE;2.5
26/08/12;1.6;NE;4.7
27/08/12;2.2;N;4.6
28/08/12;1.3;SE;2.4
29/08/12;1.3;NE;2.5
30/08/12;1.2;NE;2.5
31/08/12;1.5;NE;3.4
01/09/12;0.9;SE;2.9
02/09/12;1.8;E;5.5
03/09/12;2.0;N;6.0
04/09/12;3.5;E;6.4
05/09/12;4.2;N;6.7
06/09/12;2.3;NE;5.9
07/09/12;1.6;N;3.4
08/09/12;2.3;SE;5.2
09/09/12;1.1;E;2.6
10/09/12;1.0;E;2.8
11/09/12;1.4;E;3.4
12/09/12;2.4;SE;5.5
13/09/12;5.0;SO;9.9
14/09/12;3.9;NE;8.5
15/09/12;3.6;E;6.5
16/09/12;2.9;S;5.1
17/09/12;1.2;NE;2.5
18/09/12;1.2;NE;2.4
19/09/12;0.6;NE;1.3
20/09/12;2.9;NE;4.8
21/09/12;0.9;SE;2.1
22/09/12;0.7;S;1.5
23/09/12;0.9;E;2.0
24/09/12;2.3;E;5.8
25/09/12;1.9;S;5.4
26/09/12;3.0;S;7.7
27/09/12;1.9;S;3.9
28/09/12;0.8;NE;3.1
29/09/12;1.5;NE;6.6
30/09/12;1.1;S;5.2
01/10/12;1.0;SE;3.2
02/10/12;1.2;E;3.6
03/10/12;0.8;NE;1.8
04/10/12;1.1;SE;3.6
05/10/12;0.9;E;2.0
06/10/12;0.7;E;1.7
07/10/12;1.1;SE;3.1
08/10/12;1.4;E;5.1
09/10/12;0.9;NE;1.8
10/10/12;0.8;S;1.8
11/10/12;1.0;E;3.2
12/10/12;0.9;E;2.6
13/10/12;0.8;SE;2.6
14/10/12;0.9;NE;1.9
15/10/12;1.5;NE;3.3
16/10/12;1.4;S;3.5
17/10/12;0.9;E;2.0
18/10/12;1.0;SE;3.7
19/10/12;0.7;SO;1.8
20/10/12;0.5;NE;2.2
21/10/12;0.6;E;1.5
22/10/12;1.5;S;4.6
23/10/12;2.7;SE;6.3
24/10/12;0.8;S;1.8
25/10/12;0.7;S;1.7
26/10/12;1.0;SE;2.4
27/10/12;1.4;E;4.6
28/10/12;1.8;SO;4.2
29/10/12;2.6;NE;5.7
30/10/12;0.7;SE;2.1
31/10/12;2.1;SE;6.0
01/11/12;1.6;O;4.6
02/11/12;1.1;S;2.7
03/11/12;0.7;E;1.6
04/11/12;1.1;O;3.8
05/11/12;2.8;S;5.5
06/11/12;1.7;S;3.5
07/11/12;1.5;E;4.4
08/11/12;0.6;S;1.6
09/11/12;0.4;SE;1.2
10/11/12;1.0;SE;2.5
11/11/12;1.8;E;4.0
12/11/12;1.6;NE;4.2
13/11/12;4.1;E;7.7
14/11/12;4.6;N;7.2
15/11/12;5.4;N;6.9
16/11/12;3.2;NE;5.2
17/11/12;1.0;E;3.2
18/11/12;1.6;E;4.3
19/11/12;3.8;S;7.2
20/11/12;3.1;N;5.2
21/11/12;2.7;N;5.7
22/11/12;0.5;SO;1.3
23/11/12;0.5;E;1.3
24/11/12;0.5;SE;1.3
25/11/12;0.5;S;1.2
26/11/12;0.6;NE;2.0
27/11/12;1.6;NE;2.7
28/11/12;1.9;E;4.0
29/11/12;1.9;E;4.8
30/11/12;1.4;SE;2.4
01/12/12;1.8;NE;4.0
02/12/12;1.0;O;5.5
03/12/12;1.2;N;4.1
04/12/12;1.0;S;2.9
05/12/12;0.8;S;1.7
06/12/12;0.8;NE;1.4
07/12/12;0.9;NE;3.9
08/12/12;2.8;N;7.4
09/12/12;1.4;O;4.6
10/12/12;0.6;SE;2.3
11/12/12;1.0;E;3.1
12/12/12;1.3;S;2.8
13/12/12;0.5;SE;1.8
14/12/12;0.8;E;2.3
15/12/12;1.9;S;3.5
16/12/12;1.0;SE;2.1
17/12/12;1.1;S;2.7
18/12/12;0.8;NE;1.7
19/12/12;0.7;E;1.4
20/12/12;0.5;E;1.7
21/12/12;0.7;NO;2.0
22/12/12;0.6;N;1.6
23/12/12;0.3;NE;1.7
24/12/12;0.5;NO;1.3
25/12/12;0.4;NO;1.2
26/12/12;0.6;SE;1.8
27/12/12;1.5;NE;3.5
28/12/12;1.1;SO;3.5
29/12/12;2.0;SO;5.0
30/12/12;0.6;S;1.8
31/12/12;0.6;SE;1.5
01/01/13;0.5;SE;2.1
02/01/13;2.7;N;7.2
03/01/13;2.0;N;6.7
04/01/13;0.6;SE;1.2
05/01/13;0.6;O;1.6
06/01/13;1.0;NE;4.2
07/01/13;0.8;NE;1.4
08/01/13;0.7;NE;1.6
09/01/13;0.5;E;1.3
10/01/13;0.6;S;1.3
11/01/13;1.2;E;4.3
12/01/13;0.7;N;1.6
13/01/13;1.1;S;2.7
14/01/13;1.1;NE;4.1
15/01/13;1.0;SE;2.5
16/01/13;1.4;NE;3.5
17/01/13;3.1;SE;7.3
18/01/13;2.0;N;4.4
19/01/13;1.2;NE;2.6
20/01/13;1.1;NE;2.5
21/01/13;1.1;SE;2.8
22/01/13;1.1;E;2.9
23/01/13;1.6;O;5.0
24/01/13;3.3;N;6.2
25/01/13;3.5;N;7.1
26/01/13;2.2;NE;6.6
27/01/13;1.0;N;3.3
28/01/13;2.6;S;8.8
29/01/13;1.6;N;6.7
30/01/13;0.7;SE;1.7
31/01/13;1.0;NE;1.6
01/02/13;1.3;SE;4.3
02/02/13;3.7;SO;10.7
03/02/13;4.2;NE;9.7
04/02/13;1.0;N;3.1
05/02/13;0.8;SO;3.1
06/02/13;2.3;SO;4.3
07/02/13;3.4;E;7.2
08/02/13;3.0;N;6.7
09/02/13;2.2;N;4.4
10/02/13;0.9;SE;2.4
11/02/13;1.9;S;3.6
12/02/13;0.9;S;2.3
13/02/13;3.0;NE;7.3
14/02/13;3.3;N;5.5
15/02/13;1.3;S;4.9
16/02/13;2.9;SO;6.8
17/02/13;3.4;NE;5.7
18/02/13;3.7;N;7.8
19/02/13;1.3;E;2.4
20/02/13;0.5;E;1.2
21/02/13;2.7;E;6.3
22/02/13;3.7;N;5.9
23/02/13;3.9;NE;9.1
24/02/13;1.6;NE;4.2
25/02/13;1.7;NE;2.9
26/02/13;2.6;NE;5.6
27/02/13;1.1;SE;3.4
28/02/13;2.1;SE;5.9
01/03/13;1.9;E;7.1
02/03/13;5.5;N;9.3
03/03/13;1.2;NE;5.2
04/03/13;1.2;SE;4.7
05/03/13;0.8;SE;2.0
06/03/13;2.0;NE;5.4
07/03/13;0.5;S;1.2
08/03/13;0.9;E;2.2
09/03/13;1.5;S;3.5
10/03/13;1.5;SO;4.3
11/03/13;1.0;E;3.4
12/03/13;1.0;E;2.2
13/03/13;1.0;E;2.3
14/03/13;2.5;SE;5.2
15/03/13;3.0;N;5.2
16/03/13;1.1;E;2.6
17/03/13;1.1;SE;2.0
18/03/13;3.2;NE;6.1
19/03/13;2.5;SO;4.5
20/03/13;1.0;NE;2.1
21/03/13;1.4;N;3.1
22/03/13;0.7;E;1.5
23/03/13;0.8;SE;1.9
24/03/13;5.3;SE;11.6
25/03/13;6.4;N;10.7
26/03/13;3.8;NE;7.5
27/03/13;3.0;NE;5.4
28/03/13;1.0;NE;2.6
29/03/13;1.7;NE;4.0
30/03/13;1.8;SE;4.7
31/03/13;1.4;SO;3.4
01/04/13;1.7;SO;5.5
02/04/13;5.7;NE;9.4
03/04/13;1.8;N;4.2
04/04/13;2.3;E;7.4
05/04/13;2.0;NE;6.3
06/04/13;2.7;NE;7.6
07/04/13;4.8;NE;7.6
08/04/13;1.2;SE;3.2
09/04/13;1.3;NO;3.2
10/04/13;1.8;NE;4.4
11/04/13;1.3;NE;3.0
12/04/13;2.2;S;4.8
13/04/13;1.6;SO;3.5
14/04/13;1.0;SE;2.1
15/04/13;1.1;SE;3.2
16/04/13;1.1;E;2.4
17/04/13;1.0;E;2.3
18/04/13;1.2;E;3.0
19/04/13;1.2;NE;3.3
20/04/13;1.7;NE;3.4
21/04/13;1.3;E;4.6
22/04/13;1.9;E;7.7
23/04/13;1.7;E;4.5
24/04/13;2.2;NE;5.8
25/04/13;1.1;SE;3.2
26/04/13;1.5;SE;3.8
27/04/13;1.1;SE;2.7
28/04/13;0.8;NE;2.0
29/04/13;2.3;O;6.9
30/04/13;1.3;N;2.7
01/05/13;1.2;NE;2.9
02/05/13;0.8;NE;1.9
03/05/13;1.2;E;3.0
04/05/13;1.1;NO;2.9
05/05/13;1.2;E;3.2
06/05/13;1.5;S;5.3
07/05/13;1.2;O;3.1
08/05/13;1.0;S;2.2
09/05/13;1.2;E;2.6
10/05/13;1.1;E;3.0
11/05/13;1.5;NE;3.3
12/05/13;1.1;SO;3.1
13/05/13;1.7;E;5.0
14/05/13;1.3;SE;2.8
15/05/13;1.1;SE;3.4
16/05/13;1.6;E;5.5
17/05/13;1.7;S;3.7
18/05/13;1.2;E;2.9
19/05/13;2.2;S;5.3
20/05/13;1.7;NE;4.0
21/05/13;1.1;E;2.7
22/05/13;3.0;SE;6.6
23/05/13;1.9;NE;5.0
24/05/13;3.2;SE;7.7
25/05/13;1.4;O;4.0
26/05/13;1.6;SE;4.7
27/05/13;1.6;S;4.0
28/05/13;0.9;S;2.1
29/05/13;2.2;SO;4.4
30/05/13;1.8;NE;5.7
31/05/13;1.8;SE;4.0
01/06/13;1.4;E;2.8
02/06/13;1.3;S;3.3
03/06/13;1.3;E;5.2
04/06/13;1.2;E;2.5
05/06/13;1.2;SE;3.9
06/06/13;1.4;SE;3.6
07/06/13;1.1;E;4.2
08/06/13;1.3;E;3.5
09/06/13;0.8;NE;1.5
10/06/13;1.5;NE;4.0
11/06/13;1.3;E;2.6
12/06/13;1.1;NE;2.3
13/06/13;1.3;NE;3.2
14/06/13;1.5;E;3.3
15/06/13;1.5;O;3.8
16/06/13;1.3;SE;2.9
17/06/13;1.0;O;1.9
18/06/13;1.1;SE;2.8
19/06/13;1.2;SE;2.4
20/06/13;1.5;E;4.4
21/06/13;1.6;O;2.7
22/06/13;1.7;E;3.7
23/06/13;1.7;E;3.6
24/06/13;1.6;NE;7.3
25/06/13;1.2;NE;3.5
26/06/13;3.1;E;6.8
27/06/13;2.7;N;8.8
28/06/13;3.9;E;6.4
29/06/13;1.9;NE;4.4
30/06/13;1.1;E;2.3
01/07/13;1.2;E;2.7
02/07/13;1.2;E;2.7
03/07/13;1.2;SE;2.7
04/07/13;1.5;E;4.8
05/07/13;2.2;SE;4.7
06/07/13;2.7;SE;5.0
07/07/13;3.3;NE;6.8
08/07/13;3.9;N;7.1
09/07/13;2.4;N;5.4
10/07/13;1.2;S;5.0
11/07/13;1.1;E;4.0
12/07/13;1.5;NE;3.0
13/07/13;1.6;E;3.2
14/07/13;2.4;E;5.0
15/07/13;1.1;SE;2.3
16/07/13;1.1;E;3.0
17/07/13;1.3;S;3.9
18/07/13;1.5;E;3.0
19/07/13;1.3;E;5.4
20/07/13;1.3;NE;4.3
21/07/13;1.8;S;4.3
22/07/13;1.7;SE;4.5
23/07/13;1.3;S;2.7
24/07/13;1.6;NE;3.3
25/07/13;1.4;SE;2.9
26/07/13;1.3;E;2.8
27/07/13;1.2;E;2.9
28/07/13;1.4;SE;4.0
29/07/13;1.5;SE;3.7
30/07/13;1.7;S;3.7
31/07/13;2.3;SE;6.0
01/08/13;2.6;NE;5.6
02/08/13;1.4;SE;3.2
03/08/13;1.3;E;3.1
04/08/13;1.2;SE;2.9
05/08/13;1.2;E;2.7
06/08/13;1.0;E;2.4
07/08/13;1.3;NE;3.9
08/08/13;1.3;S;3.2
09/08/13;1.6;NE;2.8
10/08/13;2.8;E;5.7
11/08/13;2.6;NE;5.2
12/08/13;1.3;E;2.6
13/08/13;1.4;NE;3.3
14/08/13;4.0;E;8.1
15/08/13;5.7;N;8.3
16/08/13;2.8;NE;5.0
17/08/13;1.2;SE;2.7
18/08/13;1.1;E;2.6
19/08/13;1.6;E;3.6
20/08/13;3.4;S;7.0
21/08/13;4.6;NE;7.8
22/08/13;3.3;N;5.7
23/08/13;1.2;SE;3.1
24/08/13;1.3;E;2.6
25/08/13;1.7;S;5.8
26/08/13;1.2;E;2.8
27/08/13;1.3;NE;2.9
28/08/13;1.2;S;2.7
29/08/13;1.4;SE;4.6
30/08/13;2.5;S;5.4
31/08/13;1.4;S;3.5
01/09/13;1.4;NE;2.8
02/09/13;2.1;SE;4.9
03/09/13;1.0;SE;2.3
04/09/13;1.0;E;2.5
05/09/13;1.1;S;2.2
06/09/13;1.2;SE;3.0
07/09/13;1.1;E;2.7
08/09/13;1.0;SE;2.0
09/09/13;2.3;NE;4.8
10/09/13;1.2;E;3.0
11/09/13;1.6;SE;3.1
12/09/13;1.3;E;2.7
13/09/13;1.2;E;3.2
14/09/13;1.1;E;2.5
15/09/13;1.0;E;2.3
16/09/13;1.4;S;3.0
17/09/13;2.1;SO;4.5
18/09/13;1.0;E;3.1
19/09/13;1.0;NE;2.5
20/09/13;1.0;NE;2.1
21/09/13;1.7;SE;4.5
22/09/13;2.3;NE;4.8
23/09/13;0.9;SE;2.5
24/09/13;1.1;E;3.0
25/09/13;1.1;S;2.5
26/09/13;1.1;E;3.1
27/09/13;0.9;E;2.2
28/09/13;0.8;E;1.8
29/09/13;1.2;SE;3.8
30/09/13;1.3;SO;5.6
01/10/13;1.6;N;4.5
02/10/13;3.1;SE;6.2
03/10/13;3.4;N;6.7
04/10/13;1.8;NE;3.2
05/10/13;2.1;NE;5.6
06/10/13;4.1;N;6.1
07/10/13;3.0;NE;6.9
08/10/13;4.1;N;6.1
09/10/13;0.9;SE;2.3
10/10/13;1.6;E;4.4
11/10/13;1.2;E;2.8
12/10/13;1.0;SE;3.1
13/10/13;0.5;E;1.4
14/10/13;0.6;S;1.3
15/10/13;0.9;SO;2.3
16/10/13;1.0;SE;2.3
17/10/13;0.8;NE;2.1
18/10/13;0.7;SO;1.4
19/10/13;0.7;E;1.6
20/10/13;0.8;SE;2.2
21/10/13;1.3;NE;5.6
22/10/13;0.9;SO;2.7
23/10/13;1.2;SE;2.3
24/10/13;1.2;NE;2.3
25/10/13;0.7;NE;1.7
26/10/13;0.6;SE;1.5
27/10/13;0.8;E;2.4
28/10/13;1.1;NE;2.3
29/10/13;1.1;E;2.5
30/10/13;2.0;SO;6.2
31/10/13;5.1;N;6.9
01/11/13;0.7;NE;2.7
02/11/13;0.7;SE;2.0
03/11/13;2.0;E;7.2
04/11/13;1.5;NO;3.7
05/11/13;0.7;NE;1.5
06/11/13;0.9;NE;2.9
07/11/13;0.7;SE;1.8
08/11/13;0.8;E;1.8
09/11/13;1.7;E;3.7
10/11/13;1.7;S;3.9
11/11/13;5.3;N;10.2
12/11/13;5.1;N;12.5
13/11/13;4.8;NE;7.7
14/11/13;2.7;N;6.6
15/11/13;2.4;E;7.4
16/11/13;4.9;N;7.6
17/11/13;2.9;N;6.5
18/11/13;2.5;E;6.8
19/11/13;1.2;NE;3.7
20/11/13;1.5;SE;3.7
21/11/13;1.9;SO;4.9
22/11/13;2.3;E;6.1
23/11/13;2.0;NE;4.6
24/11/13;2.5;SO;6.2
25/11/13;2.1;E;6.8
26/11/13;2.5;NE;5.7
27/11/13;2.9;NE;7.0
28/11/13;4.1;E;7.0
29/11/13;0.7;SE;2.1
30/11/13;2.8;S;7.9
01/12/13;5.2;NE;8.9
02/12/13;4.1;NE;8.0
03/12/13;4.6;NE;7.8
04/12/13;0.6;E;2.0
05/12/13;0.5;SE;1.6
06/12/13;0.6;NO;1.7
07/12/13;0.7;O;1.5
08/12/13;0.6;NE;1.2
09/12/13;0.4;NE;1.1
10/12/13;0.5;E;1.4
11/12/13;0.6;NE;1.3
12/12/13;0.5;NE;1.3
13/12/13;0.9;E;2.4
14/12/13;0.4;E;1.0
15/12/13;1.6;S;4.3
16/12/13;0.5;SE;2.3
17/12/13;0.5;SE;1.6
18/12/13;0.5;S;1.9
19/12/13;0.5;SO;1.4
20/12/13;0.6;SO;1.7
21/12/13;0.5;SE;1.4
22/12/13;0.7;E;2.1
23/12/13;0.4;S;0.9
24/12/13;1.4;E;2.9
25/12/13;2.9;E;5.0
26/12/13;1.6;SE;3.5
27/12/13;1.3;E;5.2
28/12/13;0.8;NE;1.7
29/12/13;1.1;SE;2.5
30/12/13;3.8;S;8.1
31/12/13;3.0;NE;5.2
01/01/14;0.6;E;1.8
02/01/14;0.8;SE;2.2
03/01/14;0.6;NO;1.5
04/01/14;1.6;NE;3.4
05/01/14;1.7;S;2.7
06/01/14;0.9;SE;2.0
07/01/14;0.5;SE;1.4
08/01/14;0.5;S;1.5
09/01/14;0.8;S;1.4
10/01/14;0.6;E;1.3
11/01/14;0.5;E;1.5
12/01/14;0.7;S;2.0
13/01/14;0.5;S;1.3
14/01/14;1.5;SE;2.8
15/01/14;0.9;S;1.8
16/01/14;0.6;E;1.7
17/01/14;1.5;E;3.9
18/01/14;1.4;NE;2.2
19/01/14;1.1;NE;2.2
20/01/14;1.7;E;5.3
21/01/14;1.3;NE;5.9
22/01/14;1.0;E;2.0
23/01/14;0.6;SE;3.1
24/01/14;2.3;N;5.7
25/01/14;2.6;NE;5.9
26/01/14;2.0;NO;8.9
27/01/14;1.8;SE;5.1
28/01/14;2.4;NE;4.5
29/01/14;1.2;E;3.0
30/01/14;1.5;S;2.9
31/01/14;1.2;O;3.9
01/02/14;1.5;NE;3.9
02/02/14;1.8;SE;5.4
03/02/14;1.8;NE;3.8
04/02/14;0.6;S;1.3
05/02/14;1.3;E;2.8
06/02/14;1.4;E;3.7
07/02/14;1.4;SE;4.6
08/02/14;1.8;S;4.1
09/02/14;2.6;S;5.7
10/02/14;1.7;SE;3.0
11/02/14;1.1;SE;4.4
12/02/14;0.9;N;2.0
13/02/14;1.5;E;4.4
14/02/14;1.1;N;3.9
15/02/14;0.7;SE;1.8
16/02/14;1.0;NE;3.1
17/02/14;1.5;E;3.6
18/02/14;1.3;NO;5.3
19/02/14;1.4;NO;5.2
20/02/14;2.2;NE;5.2
21/02/14;1.0;E;2.0
22/02/14;1.2;SE;3.7
23/02/14;1.8;SE;4.3
24/02/14;2.0;SE;4.6
25/02/14;0.8;S;1.7
26/02/14;1.2;SE;2.4
27/02/14;0.9;NE;2.5
28/02/14;1.0;E;2.2
01/03/14;1.7;NE;3.6
02/03/14;1.9;E;6.7
03/03/14;1.0;SE;2.4
04/03/14;4.1;SE;8.5
05/03/14;2.6;NE;6.5
06/03/14;2.8;NE;6.9
07/03/14;3.3;NE;7.8
08/03/14;3.8;N;8.4
09/03/14;3.3;N;7.6
10/03/14;2.9;SE;5.5
11/03/14;3.4;N;6.0
12/03/14;3.0;S;5.7
13/03/14;1.2;SE;4.4
14/03/14;0.9;NE;2.1
15/03/14;1.1;SE;3.1
16/03/14;1.1;S;2.2
17/03/14;1.0;SE;1.9
18/03/14;1.4;E;3.5
19/03/14;1.0;SO;2.1
20/03/14;0.9;SE;2.6
21/03/14;1.1;NE;2.3
22/03/14;1.5;NE;3.9
23/03/14;2.1;S;5.3
24/03/14;1.6;SO;4.8
25/03/14;1.3;E;4.6
26/03/14;3.4;NE;5.9
27/03/14;4.1;NE;7.6
28/03/14;2.2;N;4.7
29/03/14;2.3;S;5.9
30/03/14;1.0;SE;2.5
31/03/14;1.2;S;2.5
01/04/14;1.4;SE;3.5
02/04/14;1.1;S;2.0
03/04/14;1.4;E;8.2
04/04/14;2.9;NE;9.8
05/04/14;2.8;SO;7.4
06/04/14;2.6;E;7.0
07/04/14;1.1;S;3.3
08/04/14;1.4;NE;3.9
09/04/14;1.9;E;5.3
10/04/14;1.2;E;7.0
11/04/14;1.1;SO;5.7
12/04/14;0.9;NE;5.3
13/04/14;0.7;E;8.3
14/04/14;1.4;SE;7.9
15/04/14;2.6;SO;16.4
16/04/14;2.9;N;12.0
17/04/14;2.0;NE;10.9
18/04/14;1.3;S;7.0
19/04/14;1.8;E;7.8
20/04/14;0.9;SE;5.1
21/04/14;0.7;E;4.0
22/04/14;0.7;NE;3.5
23/04/14;2.7;N;10.7
24/04/14;0.8;E;4.9
25/04/14;0.8;E;4.8
26/04/14;0.9;NE;5.8
27/04/14;0.6;NO;4.6
28/04/14;0.6;N;4.9
29/04/14;0.9;S;4.4
30/04/14;1.1;E;7.2
01/05/14;0.7;E;4.0
02/05/14;0.7;E;5.6
03/05/14;2.1;SE;8.8
04/05/14;2.2;E;9.9
05/05/14;1.0;E;5.3
06/05/14;1.1;E;6.7
07/05/14;1.0;SE;6.0
08/05/14;0.9;E;4.8
09/05/14;1.1;E;7.3
10/05/14;1.1;SE;5.5
11/05/14;1.7;SO;9.2
12/05/14;1.7;S;8.4
13/05/14;2.6;S;15.0
14/05/14;1.5;N;6.6
15/05/14;2.0;E;9.2
16/05/14;1.3;SE;6.9
17/05/14;1.0;E;6.0
18/05/14;1.0;SE;6.7
19/05/14;0.9;S;4.7
20/05/14;1.1;SE;6.1
21/05/14;1.0;E;5.5
22/05/14;1.1;E;7.1
23/05/14;1.0;NE;5.3
24/05/14;1.1;S;5.6
25/05/14;1.2;S;6.7
26/05/14;1.5;NE;6.8
27/05/14;2.1;SO;9.6
28/05/14;1.8;S;8.6
29/05/14;1.3;SO;7.5
30/05/14;0.8;E;6.0
31/05/14;3.0;E;10.4
01/06/14;1.0;E;6.8
02/06/14;1.2;SE;6.7
03/06/14;0.9;SE;5.1
04/06/14;1.5;SE;8.6
05/06/14;1.3;S;6.2
06/06/14;0.9;E;4.7
07/06/14;1.0;E;6.1
08/06/14;1.1;E;5.7
09/06/14;2.2;SO;10.0
10/06/14;1.0;SE;6.9
11/06/14;1.1;E;7.5
12/06/14;0.9;NE;6.1
13/06/14;1.2;NE;12.8
14/06/14;2.1;SE;9.8
15/06/14;3.6;N;11.2
16/06/14;4.2;N;14.1
17/06/14;3.1;N;11.7
18/06/14;3.4;N;12.0
19/06/14;1.6;E;7.3
20/06/14;1.4;E;8.7
21/06/14;1.2;SE;6.3
22/06/14;1.1;SE;7.0
23/06/14;1.4;S;8.2
24/06/14;1.5;NE;7.9
25/06/14;1.7;SO;10.9
26/06/14;0.8;S;9.9
27/06/14;1.2;NE;6.4
28/06/14;1.4;S;6.8
29/06/14;1.8;E;8.8
30/06/14;1.2;SE;7.3
01/07/14;1.1;E;5.4
02/07/14;1.2;NE;6.7
03/07/14;2.0;E;8.1
04/07/14;1.5;NE;8.6
05/07/14;1.6;O;7.1
06/07/14;1.2;NE;5.4
07/07/14;1.4;E;8.5
08/07/14;1.9;NE;12.4
09/07/14;1.6;NE;11.9
10/07/14;0.9;S;5.2
11/07/14;1.2;SE;5.8
12/07/14;1.0;E;7.0
13/07/14;1.2;E;6.1
14/07/14;1.0;S;5.9
15/07/14;1.8;NE;8.7
16/07/14;2.0;E;9.0
17/07/14;1.4;SE;6.5
18/07/14;1.1;S;5.9
19/07/14;0.9;E;5.1
20/07/14;1.0;E;6.1
21/07/14;1.1;E;9.4
22/07/14;1.5;E;6.9
23/07/14;2.1;SE;10.2
24/07/14;0.8;NE;4.9
25/07/14;1.0;N;5.7
26/07/14;0.8;NE;5.7
27/07/14;2.2;NE;9.0
28/07/14;1.2;NE;6.3
29/07/14;1.0;S;6.3
30/07/14;0.9;NE;4.1
31/07/14;1.0;NE;4.7
01/08/14;1.1;E;5.1
02/08/14;1.0;SO;5.1
03/08/14;1.1;E;10.1
04/08/14;1.0;SE;7.7
05/08/14;0.9;NE;8.6
06/08/14;1.1;S;5.8
07/08/14;0.8;E;4.1
