gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
11/07/10;1.1;NE;2.6
12/07/10;1.5;E;2.7
13/07/10;1.3;E;2.7
14/07/10;1.0;E;2.6
15/07/10;1.2;E;2.4
16/07/10;1.1;E;2.4
17/07/10;1.6;E;3.1
18/07/10;3.4;SE;6.5
19/07/10;4.4;N;6.0
20/07/10;2.6;NE;4.0
21/07/10;1.3;SE;3.1
22/07/10;1.2;E;2.5
23/07/10;1.8;NE;3.9
24/07/10;2.2;S;6.1
25/07/10;1.5;SE;3.9
26/07/10;2.4;E;4.8
27/07/10;1.2;SE;6.5
28/07/10;1.4;NE;3.0
29/07/10;1.3;E;7.0
30/07/10;2.8;SE;6.5
31/07/10;2.5;N;4.9
01/08/10;1.2;SE;2.4
02/08/10;1.3;E;3.0
03/08/10;1.1;E;2.5
04/08/10;2.4;E;5.5
05/08/10;1.4;E;5.0
06/08/10;1.1;E;2.4
07/08/10;1.2;SE;2.9
08/08/10;1.4;E;3.1
09/08/10;1.3;SE;3.0
10/08/10;1.1;E;2.6
11/08/10;1.3;E;2.9
12/08/10;1.1;E;2.3
13/08/10;0.9;E;3.2
14/08/10;1.0;N;3.2
15/08/10;2.0;S;5.1
16/08/10;2.2;SE;4.9
17/08/10;1.4;SE;3.3
18/08/10;1.3;NE;3.2
19/08/10;1.2;S;2.5
20/08/10;0.9;NE;2.5
21/08/10;2.8;SE;6.1
22/08/10;2.5;N;5.6
23/08/10;1.3;S;3.8
24/08/10;1.2;NE;2.6
25/08/10;1.2;SE;2.5
26/08/10;1.1;SE;2.6
27/08/10;1.5;E;3.4
28/08/10;2.1;S;5.7
29/08/10;3.9;N;6.3
30/08/10;1.5;E;7.9
31/08/10;1.3;E;3.6
01/09/10;1.1;S;3.4
02/09/10;0.9;SE;1.8
03/09/10;2.2;SE;5.9
04/09/10;1.3;SE;2.8
05/09/10;1.1;E;2.7
06/09/10;1.0;N;2.2
07/09/10;1.2;E;3.6
08/09/10;1.6;E;3.0
09/09/10;1.3;S;3.4
10/09/10;2.4;NE;5.9
11/09/10;3.1;N;6.0
12/09/10;1.4;E;3.7
13/09/10;1.6;SE;6.4
14/09/10;3.2;E;6.0
15/09/10;1.2;S;2.8
16/09/10;1.1;SE;2.6
17/09/10;1.2;NE;3.4
18/09/10;1.8;E;5.6
19/09/10;2.4;E;6.5
20/09/10;1.7;SE;4.4
21/09/10;0.8;SE;1.7
22/09/10;2.7;S;7.1
23/09/10;1.1;O;2.6
24/09/10;0.7;SE;2.1
25/09/10;1.4;NE;3.7
26/09/10;1.1;SE;3.7
27/09/10;1.2;E;2.5
28/09/10;0.9;NE;1.8
29/09/10;0.9;S;1.9
30/09/10;0.8;SE;2.0
01/10/10;0.6;E;1.4
02/10/10;0.9;NE;2.6
03/10/10;0.7;NE;1.9
04/10/10;1.2;E;2.6
05/10/10;1.4;SE;3.2
06/10/10;0.9;E;2.5
07/10/10;3.5;S;7.8
08/10/10;4.7;N;7.4
09/10/10;4.5;N;7.1
10/10/10;3.1;N;7.5
11/10/10;5.3;N;7.8
12/10/10;5.3;N;7.8
13/10/10;5.6;NE;7.1
14/10/10;3.3;NE;6.1
15/10/10;1.4;NE;4.2
16/10/10;0.8;E;2.8
17/10/10;4.1;N;7.4
18/10/10;5.6;N;7.9
19/10/10;2.6;N;6.1
20/10/10;0.7;S;1.8
21/10/10;0.6;NO;2.2
22/10/10;0.6;NE;2.2
23/10/10;0.5;E;1.3
24/10/10;0.9;S;2.0
25/10/10;1.7;NE;5.6
26/10/10;3.7;NE;6.7
27/10/10;3.2;N;7.0
28/10/10;2.6;NE;6.9
29/10/10;0.8;S;1.9
30/10/10;0.6;NE;2.2
31/10/10;1.7;E;2.9
01/11/10;1.6;SE;3.5
02/11/10;1.8;S;5.7
03/11/10;1.1;NE;3.3
04/11/10;2.1;SE;5.0
05/11/10;0.7;S;1.9
06/11/10;0.6;NO;1.4
07/11/10;0.7;SE;1.9
08/11/10;2.0;S;5.7
09/11/10;1.0;NE;2.4
10/11/10;1.4;E;3.0
11/11/10;1.0;E;2.2
12/11/10;0.8;NE;2.2
13/11/10;0.5;NE;1.5
14/11/10;0.5;SE;1.8
15/11/10;0.8;NE;1.8
16/11/10;1.6;E;3.3
17/11/10;1.4;NE;3.7
18/11/10;0.6;S;1.7
19/11/10;1.0;E;1.9
20/11/10;1.0;E;2.3
21/11/10;1.5;NE;2.9
22/11/10;0.8;SO;1.6
23/11/10;0.6;S;1.4
24/11/10;1.3;S;4.6
25/11/10;0.8;E;1.9
26/11/10;1.6;E;5.3
27/11/10;0.7;SE;1.8
28/11/10;3.0;S;8.5
29/11/10;1.9;NE;4.7
30/11/10;2.1;NE;4.5
01/12/10;2.4;N;6.3
02/12/10;1.4;E;2.9
03/12/10;1.3;E;3.7
04/12/10;1.7;E;4.4
05/12/10;0.7;NE;2.0
06/12/10;0.7;NO;1.7
07/12/10;1.2;SE;2.7
08/12/10;1.1;SE;2.4
09/12/10;2.9;E;6.9
10/12/10;1.6;N;5.3
11/12/10;0.6;E;1.6
12/12/10;1.3;NO;5.2
13/12/10;1.6;N;5.1
14/12/10;1.7;N;3.2
15/12/10;2.6;SE;5.7
16/12/10;2.2;NE;4.8
17/12/10;1.0;NE;2.7
18/12/10;0.7;SO;2.2
19/12/10;0.5;NE;1.3
20/12/10;0.4;O;1.1
21/12/10;0.5;SE;1.3
22/12/10;1.4;SE;2.4
23/12/10;1.7;E;3.6
24/12/10;1.0;S;2.2
25/12/10;1.0;SO;2.5
26/12/10;4.5;E;10.1
27/12/10;4.8;NE;7.4
28/12/10;0.8;SE;2.2
29/12/10;0.4;E;1.1
30/12/10;0.4;NE;0.9
31/12/10;0.6;E;2.6
01/01/11;0.4;SE;1.0
02/01/11;1.4;NE;5.7
03/01/11;4.2;N;7.5
04/01/11;1.2;NE;3.7
05/01/11;0.7;E;1.7
06/01/11;0.5;O;1.8
07/01/11;0.9;NE;2.0
08/01/11;0.9;SE;2.0
09/01/11;0.6;SE;1.7
10/01/11;0.6;NE;1.9
11/01/11;0.8;O;2.0
12/01/11;1.0;E;3.6
13/01/11;0.5;SE;1.3
14/01/11;0.7;S;1.7
15/01/11;0.8;SE;2.0
16/01/11;0.5;SE;1.8
17/01/11;0.6;SE;1.6
18/01/11;0.7;NO;1.4
19/01/11;0.4;E;1.0
20/01/11;5.8;N;9.9
21/01/11;7.6;N;11.3
22/01/11;6.0;N;10.1
23/01/11;3.5;N;6.6
24/01/11;0.9;N;2.8
25/01/11;0.5;S;1.2
26/01/11;0.8;NO;2.3
27/01/11;3.8;S;8.0
28/01/11;7.3;N;10.7
29/01/11;6.4;N;7.8
30/01/11;3.9;NE;7.1
31/01/11;2.4;N;6.1
01/02/11;4.8;NE;9.1
02/02/11;4.2;N;7.6
03/02/11;4.4;NE;7.3
04/02/11;1.9;NE;5.0
05/02/11;0.7;SE;1.8
06/02/11;0.7;SE;2.2
07/02/11;0.7;SE;1.7
08/02/11;0.9;NE;1.6
09/02/11;1.0;E;2.3
10/02/11;0.8;SE;1.7
11/02/11;1.4;S;3.3
12/02/11;1.1;S;2.3
13/02/11;0.5;E;1.5
14/02/11;0.6;E;1.6
15/02/11;0.8;SE;1.9
16/02/11;1.8;NE;2.7
17/02/11;1.2;NE;2.3
18/02/11;4.4;SE;8.5
19/02/11;1.4;NE;3.5
20/02/11;1.1;S;3.0
21/02/11;2.7;N;7.6
22/02/11;3.0;O;7.5
23/02/11;4.0;NE;8.1
24/02/11;2.5;N;6.0
25/02/11;2.5;NE;4.8
26/02/11;3.4;NE;6.9
27/02/11;2.2;E;5.6
28/02/11;5.7;NE;8.2
01/03/11;6.0;NE;9.2
02/03/11;7.6;NE;11.4
03/03/11;7.0;N;11.0
04/03/11;4.7;NE;8.2
05/03/11;4.4;N;7.1
06/03/11;1.3;S;3.9
07/03/11;4.4;E;7.3
08/03/11;3.4;NE;6.1
09/03/11;1.0;E;2.5
10/03/11;0.9;E;2.9
11/03/11;0.8;E;2.0
12/03/11;1.1;SE;2.8
13/03/11;1.5;SE;4.1
14/03/11;1.1;SE;2.8
15/03/11;1.6;NE;4.3
16/03/11;1.4;N;3.8
17/03/11;1.8;SO;5.2
18/03/11;0.9;NE;2.2
19/03/11;1.2;E;3.6
20/03/11;4.4;NE;8.7
21/03/11;3.9;N;6.8
22/03/11;4.6;NE;6.6
23/03/11;3.2;NE;5.9
