gg/mm/aaaa;Max [°C];Min [°C]
05/06/19;29.4;12.6
06/06/19;26.3;14.2
07/06/19;30;12.9
08/06/19;30.3;15.9
09/06/19;35;17.9
10/06/19;34.5;20.6
11/06/19;31;18.1
12/06/19;28.7;16.4
13/06/19;30.4;13.9
14/06/19;35.4;16.5
15/06/19;28.7;19.8
16/06/19;28.6;18.2
17/06/19;31.2;16.1
18/06/19;33.4;18.1
19/06/19;31.8;18.1
20/06/19;31.6;15.3
21/06/19;32.5;17.5
22/06/19;29.8;19.9
23/06/19;31.3;16.9
24/06/19;32.3;18.2
25/06/19;33.5;21
26/06/19;34.5;21.2
27/06/19;38.6;20.3
28/06/19;36.4;22.1
29/06/19;34;25.7
30/06/19;36.1;21.2
01/07/19;36.3;20
02/07/19;36.2;19.5
03/07/19;36.8;21.7
04/07/19;34.6;21.5
05/07/19;34.9;20.7
06/07/19;34.3;21.6
07/07/19;30.3;21.1
08/07/19;32.7;23.4
09/07/19;33.5;23.2
10/07/19;27.7;21.3
11/07/19;29.6;17.1
12/07/19;32;19.7
13/07/19;30.7;20.8
14/07/19;31.7;17.4
15/07/19;23.7;16.4
16/07/19;28.3;18.9
17/07/19;32.1;14.5
18/07/19;31.5;16.6
19/07/19;33;17
20/07/19;33.5;17.5
21/07/19;33.6;18.2
22/07/19;35.8;19.7
23/07/19;37.9;21.4
24/07/19;38.5;22.4
25/07/19;39.5;23.1
26/07/19;36.7;23.5
27/07/19;32.2;18.8
28/07/19;24.3;17.7
29/07/19;29.7;20
30/07/19;30.9;18.5
31/07/19;30.6;19.9
01/08/19;33.2;18.1
02/08/19;32.7;19.8
03/08/19;33.3;19.4
04/08/19;33.8;18.3
05/08/19;32.8;18.3
06/08/19;33.8;19.5
07/08/19;33.1;19.5
08/08/19;33.8;22.8
09/08/19;35.9;21.8
10/08/19;35.4;20.7
11/08/19;37.6;19.9
12/08/19;36.1;22.4
13/08/19;33.8;21.3
14/08/19;30.3;18.7
15/08/19;31.3;17.4
16/08/19;31.3;19.2
17/08/19;32.3;18.2
18/08/19;33.2;19
19/08/19;34.4;18.6
20/08/19;36.5;18.2
21/08/19;36;20.7
22/08/19;32;23.4
23/08/19;29.7;20.6
24/08/19;31.5;20.3
25/08/19;32.4;19.6
26/08/19;33.3;18.9
27/08/19;34.4;18.8
28/08/19;32.1;20.5
29/08/19;33.4;18.5
30/08/19;33.9;19.7
31/08/19;34;19.1
01/09/19;33.4;18.9
02/09/19;31.4;18.8
03/09/19;27.9;17.8
04/09/19;28.3;18
05/09/19;31.2;12.7
06/09/19;24.5;17.7
07/09/19;27.1;16.1
08/09/19;24.9;15.1
09/09/19;26.2;15
10/09/19;26.9;12.4
11/09/19;28.3;18.2
12/09/19;29.4;14.6
13/09/19;31.2;15.7
14/09/19;30.6;16.9
15/09/19;30.6;16
16/09/19;31.2;15.9
17/09/19;29.1;15.6
18/09/19;28.9;17.8
19/09/19;24.2;18.6
20/09/19;23.4;15.8
21/09/19;26.4;12.1
22/09/19;20.7;15.5
23/09/19;21.7;17.3
24/09/19;25.1;13.3
25/09/19;24.6;16.7
26/09/19;26.1;16
27/09/19;23.3;14.8
28/09/19;26.6;16.5
29/09/19;25.6;14.9
30/09/19;26.4;17.4
01/10/19;26.6;15.1
02/10/19;23.5;14.3
03/10/19;17.5;11.5
04/10/19;20.5;7.6
05/10/19;23;13.4
06/10/19;24.2;10.8
07/10/19;20;14.2
08/10/19;23.5;9.5
09/10/19;22.1;9.7
10/10/19;23.1;11.6
11/10/19;24.7;9.6
12/10/19;24.2;10.6
13/10/19;23;12.5
14/10/19;24;13.9
15/10/19;23.4;15.5
16/10/19;21;12.9
17/10/19;21.3;10.5
18/10/19;22.2;10.3
19/10/19;23;14
20/10/19;21.4;12.3
21/10/19;26.2;16.3
22/10/19;28.1;13.4
23/10/19;26.4;13.4
24/10/19;18.5;13.5
25/10/19;21.9;13.5
26/10/19;26;11.5
27/10/19;24.1;10.5
28/10/19;19.7;10.5
29/10/19;18.1;14.4
30/10/19;19.4;14.4
31/10/19;17.4;13.3
01/11/19;16.8;13
02/11/19;16.2;13
03/11/19;21.1;14.2
04/11/19;18.2;13.1
05/11/19;19.9;13.2
06/11/19;14.3;8.8
07/11/19;15.5;7.4
08/11/19;13.9;8.5
09/11/19;12.7;6.2
10/11/19;12.6;5.2
11/11/19;14.8;10.1
12/11/19;14;9.2
13/11/19;13.9;7
14/11/19;16.5;5
15/11/19;14.4;9.1
16/11/19;11.5;8
17/11/19;15.1;7.7
18/11/19;14;6.9
19/11/19;14.5;9.7
20/11/19;16.2;7.9
21/11/19;14.1;9.8
22/11/19;13.6;7.5
23/11/19;16.8;13
24/11/19;17.8;13.4
25/11/19;18.4;9.7
26/11/19;16.2;6.4
27/11/19;14.2;11.6
28/11/19;16;12.1
29/11/19;14.9;10.9
30/11/19;15.9;7.4
01/12/19;14.9;7
02/12/19;15;11
03/12/19;12.5;7.7
04/12/19;10.6;6.7
05/12/19;9.7;4.9
06/12/19;11.3;6
07/12/19;14.5;9
08/12/19;15.6;11
09/12/19;14.3;7.4
10/12/19;14;6.4
11/12/19;10.1;1.4
12/12/19;4.8;0.1
13/12/19;9.2;-0.4
14/12/19;7.1;-0.8
15/12/19;16.7;6.9
16/12/19;15.2;10.8
17/12/19;16.6;13.1
18/12/19;15.3;9.7
19/12/19;16.2;10
20/12/19;14.1;8.6
21/12/19;15.3;10
22/12/19;14.5;9.6
23/12/19;15.3;4.2
24/12/19;13.6;2
25/12/19;14;5.4
26/12/19;10.8;1.8
27/12/19;11.7;1.6
28/12/19;12;1.8
29/12/19;10;1.7
30/12/19;9.2;4.3
31/12/19;10.5;-1.6
01/01/20;10.8;-1
02/01/20;11.5;-0.9
03/01/20;11.1;2.4
04/01/20;10.3;4.6
05/01/20;12.2;2.1
06/01/20;11.5;-0.5
07/01/20;8.8;-1.6
08/01/20;15.5;1.7
09/01/20;13.3;-0.9
10/01/20;13.4;2.6
11/01/20;14.1;4.9
12/01/20;14.4;2.2
13/01/20;12.1;-1.2
14/01/20;7.7;0.6
15/01/20;12.4;5.8
16/01/20;13.9;4.2
17/01/20;11.1;2.1
18/01/20;8.8;6.4
19/01/20;11;6.8
20/01/20;9.3;6.9
21/01/20;9.8;5.2
22/01/20;13.6;2.2
23/01/20;15.5;1.6
24/01/20;11.2;1.5
25/01/20;12.5;8.2
26/01/20;14.4;6.6
27/01/20;10.5;6
28/01/20;14.6;9
29/01/20;14.6;9.1
30/01/20;14.2;6.8
31/01/20;11.5;9.1
01/02/20;12.9;11.3
02/02/20;15.6;12.1
03/02/20;15.5;9.5
04/02/20;16.9;8.8
05/02/20;13.5;4.3
06/02/20;12.7;2.1
07/02/20;13.1;-1.4
08/02/20;13.3;0.7
09/02/20;11.5;1.2
10/02/20;14.2;8.3
11/02/20;16.3;12.9
12/02/20;16.4;5.7
13/02/20;14.8;3.3
14/02/20;18.6;6
15/02/20;17.4;1.6
16/02/20;15.9;2.6
17/02/20;15.2;5.6
18/02/20;15.8;7.5
19/02/20;15;5.2
20/02/20;16.4;3.8
21/02/20;14.9;1.5
22/02/20;18.2;4
23/02/20;15.8;6.1
24/02/20;15.5;8.1
25/02/20;18.3;8.5
26/02/20;13.9;2.2
27/02/20;12.4;-0.7
28/02/20;15.3;4.2
29/02/20;13;1.7
01/03/20;15;10.4
02/03/20;14.4;9.8
03/03/20;10.8;5.4
04/03/20;12.2;3.2
05/03/20;11.4;1.7
06/03/20;14.4;7.4
07/03/20;11.9;5.7
08/03/20;15;5.4
09/03/20;12.5;3
10/03/20;17.2;6.1
11/03/20;18.8;4.2
12/03/20;12.8;7.2
13/03/20;16.7;10.9
14/03/20;16.2;8.9
15/03/20;15.1;7.8
16/03/20;19.5;4.1
17/03/20;20.4;3.9
18/03/20;21.4;4.1
19/03/20;23.2;6.5
20/03/20;20;6.1
21/03/20;20.6;6.1
22/03/20;15.7;8
23/03/20;8.9;2.8
24/03/20;9.2;0.2
25/03/20;7.1;2
26/03/20;7.9;4
27/03/20;11.1;7.3
28/03/20;17.9;9.1
29/03/20;19.6;4.2
30/03/20;19.4;6.6
31/03/20;10.4;3.7
01/04/20;11.3;3
02/04/20;16.6;-0.8
03/04/20;18.2;1
04/04/20;18.9;8.8
05/04/20;18.6;9.1
06/04/20;21.3;13.1
07/04/20;22.3;6.1
08/04/20;23.1;5.8
09/04/20;24.5;4.4
10/04/20;25.3;4.9
11/04/20;25.1;5.5
12/04/20;23.7;5.6
13/04/20;21.7;7
14/04/20;22.5;9.6
15/04/20;18.4;7.3
16/04/20;21.3;4
17/04/20;21.5;5.4
18/04/20;20.3;10.5
19/04/20;22.7;13
20/04/20;16.1;13.3
21/04/20;13.9;11.9
22/04/20;17.6;12.5
23/04/20;21.5;11.8
24/04/20;23.1;5.2
25/04/20;22.2;8.2
26/04/20;22.7;7.6
27/04/20;23.6;10.5
28/04/20;18.4;12.3
29/04/20;20.5;13.2
30/04/20;21.2;13.3
01/05/20;19;13.9
02/05/20;23.7;14.2
03/05/20;22.6;13.3
04/05/20;25.6;8.5
05/05/20;22.9;10.4
06/05/20;22.9;14.1
07/05/20;25.6;11.3
08/05/20;27.6;9.4
09/05/20;26.2;10.2
10/05/20;26.2;14.5
11/05/20;23.6;12.3
12/05/20;22.8;14.3
13/05/20;25.1;12.8
14/05/20;28;17.2
15/05/20;21.4;15.3
16/05/20;21.2;13.4
17/05/20;27.8;17.4
18/05/20;24.2;17.8
19/05/20;23.3;16.8
20/05/20;21.5;15.4
21/05/20;25.4;16.6
22/05/20;27.9;12.7
23/05/20;27.8;13.2
24/05/20;26.3;15.5
25/05/20;27.1;13.9
26/05/20;25.1;13.1
27/05/20;23.5;11.8
28/05/20;25.7;9.6
29/05/20;18.7;11.8
30/05/20;23.2;13.3
31/05/20;23.6;11.4
01/06/20;25.7;11.4
02/06/20;28.6;12.4
03/06/20;25.9;16.5
04/06/20;22.3;15.9
05/06/20;25.1;16.4
06/06/20;25.8;14.7
07/06/20;25;15.4
08/06/20;25;16.4
09/06/20;25.9;13.5
10/06/20;20.9;12.9
11/06/20;22.9;12.9
12/06/20;26.5;12.7
13/06/20;26.4;13.3
14/06/20;24.4;13.5
15/06/20;25;15.8
16/06/20;26.1;16.8
17/06/20;23.9;18
18/06/20;25.6;15.5
19/06/20;27.1;13.4
20/06/20;28.4;15.1
21/06/20;28.9;15.3
22/06/20;31;16.3
23/06/20;32.1;16
24/06/20;32.9;17.1
25/06/20;31.3;17.5
26/06/20;32.1;16.5
27/06/20;32.4;17.5
28/06/20;33.7;17.5
29/06/20;30.3;17.7
30/06/20;31.9;19.4
01/07/20;32.5;18
02/07/20;33.1;19.5
03/07/20;31.7;21.2
04/07/20;29.6;20.1
05/07/20;31.2;18.4
06/07/20;35.2;17.8
07/07/20;26.3;19.8
08/07/20;32.5;16.7
09/07/20;33.9;17.4
10/07/20;33.4;18.7
11/07/20;31.9;18.4
12/07/20;28.4;21.9
13/07/20;27.8;18.7
14/07/20;28.2;17.4
15/07/20;29.2;17.6
16/07/20;29.9;15.7
17/07/20;28.4;18
18/07/20;27.9;19.2
19/07/20;31.1;15.9
20/07/20;31.7;17.1
21/07/20;32.7;18.5
22/07/20;33.1;19.9
23/07/20;33.6;20
24/07/20;29.8;18.6
25/07/20;32.2;16
26/07/20;31.4;17.4
27/07/20;33.7;18.3
28/07/20;35.5;18.6
29/07/20;35.3;20.7
30/07/20;36.8;20.7
31/07/20;37.1;21.3
01/08/20;37.6;21.8
02/08/20;35.7;22.5
03/08/20;31.1;22.4
04/08/20;25.8;19.4
05/08/20;26.9;18.4
06/08/20;29.1;19.2
07/08/20;31.6;21.3
08/08/20;33.7;19.9
09/08/20;36.6;21.1
10/08/20;36.9;20.3
11/08/20;35.4;21.4
12/08/20;36.2;20.3
13/08/20;36.2;20.4
14/08/20;34.7;20.8
15/08/20;34.3;22.5
16/08/20;34.8;20.7
17/08/20;31;19.7
18/08/20;28.9;20.3
19/08/20;31.8;19.4
20/08/20;34.1;18
21/08/20;36.3;19
22/08/20;35.4;19.2
23/08/20;34.2;20.4
24/08/20;31.9;19.8
25/08/20;32.8;18.1
26/08/20;30.9;21.2
27/08/20;32.5;19.6
28/08/20;32.6;19.1
29/08/20;33.3;24.2
30/08/20;26.2;18.3
31/08/20;20.1;13.2
01/09/20;26;11.8
02/09/20;27.8;13.9
03/09/20;29.5;15
04/09/20;31.6;14.5
05/09/20;31.4;15.6
06/09/20;29.4;15.8
07/09/20;31.2;15.9
08/09/20;29.7;22.1
09/09/20;32.9;19.3
10/09/20;29.9;19.4
11/09/20;31.4;22.5
12/09/20;30.7;22
13/09/20;31.8;20.9
14/09/20;30.9;22.6
15/09/20;31.8;23.6
16/09/20;33.4;18
17/09/20;31.6;17.7
18/09/20;30.1;21.5
19/09/20;30.6;18.2
20/09/20;28.4;17.2
21/09/20;28.6;15.7
22/09/20;24.3;16.3
23/09/20;21.8;15.7
24/09/20;25.6;16.8
25/09/20;23.7;10.7
26/09/20;21.7;8.7
27/09/20;14.6;9.2
28/09/20;19;9.2
29/09/20;22.2;8.8
30/09/20;23.5;10.9
01/10/20;20.9;12.7
02/10/20;22.1;15.3
03/10/20;20.6;13.3
04/10/20;21.5;12.4
05/10/20;20.4;12.1
06/10/20;19.1;11.1
07/10/20;23.4;12.2
08/10/20;23.2;8.8
09/10/20;22.6;9
10/10/20;18.1;11.2
11/10/20;15.8;9.9
12/10/20;13.9;9.3
13/10/20;18.6;6.1
14/10/20;18.2;9.5
15/10/20;16.1;10.4
16/10/20;17;8.7
17/10/20;17.8;6.4
18/10/20;18.9;7.8
19/10/20;19.4;6.5
20/10/20;21;6.5
21/10/20;20.7;6.8
22/10/20;19.7;10.4
23/10/20;19.4;13.2
24/10/20;18.7;12.6
25/10/20;18.8;11.4
26/10/20;21.2;11
27/10/20;18.3;8.4
28/10/20;17.6;5.9
29/10/20;17.7;8.6
30/10/20;18.3;9.3
31/10/20;18;9.5
01/11/20;15.9;13.5
02/11/20;17.9;14
03/11/20;15.9;14.1
04/11/20;18.8;14.1
05/11/20;16.9;13.7
06/11/20;19.4;12.7
07/11/20;21.6;7.5
08/11/20;19.5;6.9
09/11/20;19.3;7
10/11/20;19.3;7.2
11/11/20;17.6;7.6
12/11/20;15.6;12.2
13/11/20;17.9;9.5
14/11/20;14.9;7.9
15/11/20;18.4;11.5
16/11/20;15.2;12.4
17/11/20;15.6;11.6
18/11/20;19.1;7.3
19/11/20;16.6;4.4
20/11/20;12.9;8.7
21/11/20;10.5;7
22/11/20;11;2.2
23/11/20;13.1;-0.3
24/11/20;12.3;1.5
25/11/20;15;1.6
26/11/20;15.8;4.2
27/11/20;17.3;7.8
28/11/20;15;9.5
29/11/20;14.4;9.7
30/11/20;13.8;5.1
01/12/20;9.7;3.2
02/12/20;8.5;4.2
03/12/20;9.5;2.4
04/12/20;12;2.2
05/12/20;17.1;9.3
06/12/20;12;6.3
07/12/20;12.9;5.8
08/12/20;11.8;7.9
09/12/20;9.6;6.2
10/12/20;9.3;6.7
11/12/20;10.8;3.3
12/12/20;8.6;5.9
13/12/20;13.5;3.4
14/12/20;12;0.4
15/12/20;10.5;1.9
16/12/20;11.2;4.1
17/12/20;11.3;8.7
18/12/20;15.8;6.4
19/12/20;11.3;4.6
20/12/20;14.7;6.2
21/12/20;12.5;3.2
22/12/20;14.2;8.9
23/12/20;12.6;10.7
24/12/20;14.1;11.2
25/12/20;13.6;7.3
26/12/20;7.7;5
27/12/20;8.7;1.4
28/12/20;9.6;2.9
29/12/20;10.3;5.8
30/12/20;7.6;2.4
31/12/20;7;1.6
01/01/21;8.7;4.3
02/01/21;10.5;7.8
03/01/21;10.7;6
04/01/21;9.7;5.5
05/01/21;7.5;3.9
06/01/21;4.7;1.5
07/01/21;8.2;1.6
08/01/21;8.4;4.3
09/01/21;5.5;4
10/01/21;5.4;2.8
11/01/21;4.6;2.6
12/01/21;8.9;0.5
13/01/21;11.8;0.1
14/01/21;13;2.5
15/01/21;10.4;3.9
16/01/21;8.3;0
17/01/21;5.2;-0.2
18/01/21;9.5;-1.6
19/01/21;7.2;0.2
20/01/21;11.5;4.2
21/01/21;15.4;9.6
22/01/21;14.5;10.6
23/01/21;12;6.8
24/01/21;11.5;0.6
25/01/21;12.2;0.2
26/01/21;11;-2
27/01/21;9;-3.2
28/01/21;5.6;2.2
29/01/21;11;4.8
30/01/21;14;6.1
31/01/21;11.1;5.4
01/02/21;8.8;4.7
02/02/21;14.7;5.3
03/02/21;15.2;7.6
04/02/21;15.3;11.4
05/02/21;16.7;8.8
06/02/21;17.2;5.7
07/02/21;14.9;9.7
08/02/21;12.2;8.9
09/02/21;12.2;9.3
10/02/21;14.8;8.6
11/02/21;14.7;5
12/02/21;8;2.7
13/02/21;2.6;-0.5
14/02/21;5.4;-1.4
15/02/21;9.2;-4.6
16/02/21;6;0.1
17/02/21;9.4;6
18/02/21;13.9;7.9
19/02/21;13.8;6.6
20/02/21;17;6.3
21/02/21;18.9;3.2
22/02/21;19.2;4.8
23/02/21;19.7;5.1
24/02/21;22.2;4.6
25/02/21;21.6;4
26/02/21;20.9;3.9
27/02/21;19.2;4.7
28/02/21;14.1;8.5
01/03/21;17.1;2.4
02/03/21;19.2;4.4
03/03/21;18.8;1.5
04/03/21;16.1;1.6
05/03/21;16.7;8.2
06/03/21;12.4;6.5
07/03/21;16.2;2
08/03/21;17.5;4
09/03/21;13.4;8
10/03/21;14.8;5.1
11/03/21;14.8;2.4
12/03/21;17.8;10.7
13/03/21;16.7;8.2
14/03/21;13.7;4.7
15/03/21;15.7;0.4
16/03/21;15.1;2.5
17/03/21;16.2;0.1
18/03/21;12.3;1.4
19/03/21;11.6;-0.1
20/03/21;11.7;4.1
21/03/21;9.6;3.4
22/03/21;14.2;5.9
23/03/21;14;3.2
24/03/21;17.3;0.1
25/03/21;18.2;6.7
26/03/21;14.9;5.8
27/03/21;18;7.8
28/03/21;20.4;8.8
29/03/21;23.8;6.5
30/03/21;26.8;6.7
31/03/21;27.8;8
01/04/21;23.9;8.4
02/04/21;22.8;7.2
03/04/21;20.9;7.3
04/04/21;15.5;6.4
05/04/21;18.8;2.8
06/04/21;15.1;4.9
07/04/21;10.9;1.2
08/04/21;15.6;-1.7
09/04/21;17.9;5.9
10/04/21;13.9;8
11/04/21;16.9;9.4
12/04/21;14.3;8.9
13/04/21;11.7;6.1
14/04/21;15.1;2.5
15/04/21;14.1;5.4
16/04/21;15.5;4.7
17/04/21;15.1;7.9
18/04/21;15.4;3.9
19/04/21;16.1;6.6
20/04/21;18.6;4.4
21/04/21;18.5;5.1
22/04/21;19.4;10.2
23/04/21;20.9;6.4
24/04/21;23.3;9.4
25/04/21;23.9;7
26/04/21;22.3;8.6
27/04/21;16;11.4
28/04/21;18.2;11.4
29/04/21;17.9;13.9
30/04/21;22.7;13.9
01/05/21;23.4;12.2
02/05/21;18.9;10.7
03/05/21;20.7;8.1
04/05/21;19.7;6.6
05/05/21;19.9;10.8
06/05/21;20.8;10.6
07/05/21;20.8;11.8
08/05/21;24.9;10.8
09/05/21;27.2;11.3
10/05/21;27.6;12.2
11/05/21;19.4;12.9
12/05/21;18.9;12.1
13/05/21;18.7;11.4
14/05/21;19.8;10.8
15/05/21;19.5;9
16/05/21;17.2;14.1
